aal;угорь
eingeschaltet;включ,нный
eingeschrieben;заказной,заказное,письмо
eingeschränkt;стесн,нный,ограниченный
eingestehen;открыто признавать,признавать
eingestuft;классифицированный
eingeweide;внутренности
eingeweiht;посвящ,нный,во что-л
eingeweihter;приверженец
eingewurzelt;укоренившийся,закоренелый
eingießen;наливать
eingleisig;одноколейный
eingravieren;инкрустировать,гравировать
eingravierend;гравирование
eingreifen;вмешиваться,принимать меры
einhalten;задерживать,останавливать
einheimisch;местный,здешний,отечественный
